"","Country Code","2018"
"1","ABW",NA
"2","AFE",1.97214289159209
"3","AFG",0.055
"4","AFW",2.69473375184973
"5","AGO",3.1
"6","ALB",2.68
"7","AND",5.19
"8","ARB",0.151652261276993
"9","ARE",0.84
"10","ARG",4.71
"11","ARM",2.55
"12","ASM",NA
"13","ATG",2.9
"14","AUS",5.18
"15","AUT",5.77
"16","AZE",1.46
"17","BDI",2.79
"18","BEL",5.27
"19","BEN",1.14
"20","BFA",4.2
"21","BGD",0.005
"22","BGR",5.68
"23","BHR",0.32
"24","BHS",2.12
"25","BIH",2.7
"26","BLR",5.38
"27","BLZ",2.59
"28","BMU",NA
"29","BOL",2.09
"30","BRA",3.26
"31","BRB",4.09
"32","BRN",0.22
"33","BTN",0.16
"34","BWA",2.51
"35","CAF",0.98
"36","CAN",4.07
"37","CEB",5.64154781704564
"38","CHE",5.6
"39","CHI",NA
"40","CHL",4.4
"41","CHN",3.02
"42","CIV",1.05
"43","CMR",2.36
"44","COD",0.83
"45","COG",3.96
"46","COL",2.37
"47","COM",0.18
"48","CPV",2.44
"49","CRI",2
"50","CSS",2.43392318053388
"51","CUB",2.44
"52","CUW",NA
"53","CYM",NA
"54","CYP",4.76
"55","CZE",6.99
"56","DEU",6.21
"57","DJI",0.12
"58","DMA",4.57
"59","DNK",4.86
"60","DOM",2.81
"61","DZA",0.25
"62","EAP",2.61692906806122
"63","EAR",1.41142303933633
"64","EAS",2.77965083813588
"65","ECA",3.18468871400495
"66","ECS",4.39014808345155
"67","ECU",2
"68","EGY",0.097
"69","EMU",5.34210289037374
"70","ERI",0.5
"71","ESP",5.77
"72","EST",4.35
"73","ETH",0.83
"74","EUU",5.37123951864947
"75","FCS",1.70368678603376
"76","FIN",5.05
"77","FJI",1.11
"78","FRA",5.83
"79","FRO",NA
"80","FSM",0.84
"81","GAB",3.97
"82","GBR",5.39
"83","GEO",3.59
"84","GHA",1.17
"85","GIB",NA
"86","GIN",0.34
"87","GMB",1.16
"88","GNB",2.01
"89","GNQ",3.27
"90","GRC",4.46
"91","GRD",3.92
"92","GRL",NA
"93","GTM",1.04
"94","GUM",NA
"95","GUY",2.73
"96","HIC",4.68230273844229
"97","HKG",NA
"98","HND",1.5
"99","HPC",1.55485320807428
"100","HRV",4.22
"101","HTI",1.07
"102","HUN",5.38
"103","IBD",2.42368739926341
"104","IBT",2.20931327433612
"105","IDA",1.42810524733507
"106","IDB",1.83945971318668
"107","IDN",0.17
"108","IDX",1.2222619826646
"109","IMN",NA
"110","IND",1.88
"111","INX",NA
"112","IRL",6.38
"113","IRN",0.26
"114","IRQ",0.11
"115","ISL",4.34
"116","ISR",1.93
"117","ITA",3.52
"118","JAM",1.7
"119","JOR",0.19
"120","JPN",3.89
"121","KAZ",1.93
"122","KEN",1.07
"123","KGZ",1.95
"124","KHM",2.72
"125","KIR",0.16
"126","KNA",3.95
"127","KOR",4.8
"128","KWT",0.001
"129","LAC",2.79552454083533
"130","LAO",4.55
"131","LBN",0.55
"132","LBR",2.51
"133","LBY",0.005
"134","LCA",4.39
"135","LCN",2.80420976442795
"136","LDC",1.28729649445487
"137","LIC",1.20839835747643
"138","LIE",NA
"139","LKA",1.7
"140","LMC",1.61685679032335
"141","LMY",2.17387307467677
"142","LSO",1.59
"143","LTE",3.11762165962956
"144","LTU",6.56
"145","LUX",6.36
"146","LVA",6.11
"147","MAC",NA
"148","MAF",NA
"149","MAR",0.18
"150","MCO",NA
"151","MDA",5.27
"152","MDG",0.76
"153","MDV",0.5
"154","MEA",0.223606864656437
"155","MEX",2.13
"156","MHL",NA
"157","MIC",2.25683325156484
"158","MKD",2.44
"159","MLI",0.38
"160","MLT",3.56
"161","MMR",2.02
"162","MNA",0.180533173729695
"163","MNE",4.97
"164","MNG",3.77
"165","MNP",NA
"166","MOZ",0.88
"167","MRT",0.009
"168","MUS",1.81
"169","MWI",1.38
"170","MYS",0.32
"171","NAC",4.58034740674399
"172","NAM",2.07
"173","NCL",NA
"174","NER",0.2
"175","NGA",4.37
"176","NIC",2.07
"177","NLD",4.51
"178","NOR",3.58
"179","NPL",0.76
"180","NRU",1.26
"181","NZL",5.19
"182","OED",4.29553083408282
"183","OMN",0.19
"184","OSS",2.25362595366411
"185","PAK",0.11
"186","PAN",3.44
"187","PER",3.06
"188","PHL",2.8
"189","PLW",NA
"190","PNG",0.47
"191","POL",5.58
"192","PRE",2.17704673436568
"193","PRI",NA
"194","PRK",1.47
"195","PRT",5.56
"196","PRY",3.18
"197","PSE",NA
"198","PSS",0.830989551781821
"199","PST",4.75736061903669
"200","PYF",NA
"201","QAT",0.4
"202","ROU",5.45
"203","RUS",4.58
"204","RWA",3.51
"205","SAS",1.46744450823235
"206","SAU",0.042
"207","SDN",0.14
"208","SEN",0.23
"209","SGP",1.04
"210","SLB",0.63
"211","SLE",1.61
"212","SLV",1.67
"213","SMR",NA
"214","SOM",0.002
"215","SRB",3.89
"216","SSA",2.25776460938851
"217","SSD",NA
"218","SSF",2.25860373352755
"219","SST",2.21063448165288
"220","STP",2.55
"221","SUR",2.23
"222","SVK",5.35
"223","SVN",5.6
"224","SWE",4.21
"225","SWZ",3.76
"226","SXM",NA
"227","SYC",9.51
"228","SYR",0.062
"229","TCA",NA
"230","TCD",0.5
"231","TEA",2.63183563043283
"232","TEC",3.40332281070601
"233","TGO",1.02
"234","THA",3.52
"235","TJK",0.99
"236","TKM",1.65
"237","TLA",2.81124781847576
"238","TLS",0.89
"239","TMN",0.180533173729695
"240","TON",0.28
"241","TSA",1.46744450823235
"242","TSS",2.25860373352755
"243","TTO",3.03
"244","TUN",0.56
"245","TUR",0.56
"246","TUV",0.5
"247","TZA",4.12
"248","UGA",5.88
"249","UKR",3.65
"250","UMC",2.97551974577859
"251","URY",3.37
"252","USA",4.64
"253","UZB",0.79
"254","VCT",3.65
"255","VEN",1.75
"256","VGB",NA
"257","VIR",NA
"258","VNM",3.49
"259","VUT",0.77
"260","WLD",2.61377752868371
"261","WSM",0.88
"262","XKX",NA
"263","YEM",0.013
"264","ZAF",3.49
"265","ZMB",2.62
"266","ZWE",1.63
