"","Country Code","2018"
"1","ABW",NA
"2","AFE",8.497959931
"3","AFG",0.36
"4","AFW",11.00733593
"5","AGO",11.05
"6","ALB",11.63
"7","AND",17.17
"8","ARB",1.037616141
"9","ARE",4.88
"10","ARG",14.94
"11","ARM",9.14
"12","ASM",NA
"13","ATG",10.26
"14","AUS",15.96
"15","AUT",18.49
"16","AZE",7.51
"17","BDI",11.86
"18","BEL",17.15
"19","BEN",4.53
"20","BFA",20.17
"21","BGD",0.033
"22","BGR",20.17
"23","BHR",1.5
"24","BHS",7.62
"25","BIH",11.83
"26","BLR",18.71
"27","BLZ",9.94
"28","BMU",NA
"29","BOL",6.8
"30","BRA",11.82
"31","BRB",15.98
"32","BRN",0.72
"33","BTN",0.67
"34","BWA",10.85
"35","CAF",3.85
"36","CAN",13.95
"37","CEB",18.81260174
"38","CHE",17.65
"39","CHI",NA
"40","CHL",13.89
"41","CHN",10.92
"42","CIV",4.3
"43","CMR",8.96
"44","COD",3.2
"45","COG",14.63
"46","COL",9.3
"47","COM",1.2
"48","CPV",8.81
"49","CRI",7.77
"50","CSS",9.266783271
"51","CUB",9.25
"52","CUW",NA
"53","CYM",NA
"54","CYP",16.92
"55","CZE",22.28
"56","DEU",19.9
"57","DJI",0.75
"58","DMA",18.07
"59","DNK",15.78
"60","DOM",10.66
"61","DZA",1.63
"62","EAP",9.698231077
"63","EAR",6.322282746
"64","EAS",10.02935884
"65","ECA",12.74935021
"66","ECS",15.60493435
"67","ECU",6.43
"68","EGY",0.62
"69","EMU",17.80818235
"70","ERI",2.39
"71","ESP",20.07
"72","EST",14.96
"73","ETH",3.91
"74","EUU",17.89387213
"75","FCS",7.058438336
"76","FIN",16.77
"77","FJI",5.49
"78","FRA",19.18
"79","FRO",NA
"80","FSM",4.06
"81","GAB",13.17
"82","GBR",17.76
"83","GEO",13.58
"84","GHA",4.4
"85","GIB",NA
"86","GIN",1.89
"87","GMB",6.07
"88","GNB",8.95
"89","GNQ",10.07
"90","GRC",16.17
"91","GRD",15.07
"92","GRL",NA
"93","GTM",3.97
"94","GUM",NA
"95","GUY",11.02
"96","HIC",14.96104849
"97","HKG",NA
"98","HND",6.07
"99","HPC",6.640223491
"100","HRV",14.73
"101","HTI",4.47
"102","HUN",18.1
"103","IBD",9.500424347
"104","IBT",8.752943559
"105","IDA",5.965119858
"106","IDB",7.375838254
"107","IDN",0.98
"108","IDX",5.226546311
"109","IMN",NA
"110","IND",8.99
"111","INX",NA
"112","IRL",19.62
"113","IRN",1.79
"114","IRQ",0.67
"115","ISL",13.9
"116","ISR",6.58
"117","ITA",12.46
"118","JAM",6.79
"119","JOR",1.19
